year,co2_ppm,ch4_ppb,n2o_ppb
1800,282.9,750.8,273
1805,283.4,755.5,273.2
1810,283.8,760.1,273.5
1815,284,764.9,273.7
1820,284.2,769.7,274
1825,284.3,774.5,274.2
1830,284.4,779.3,274.4
1835,283.8,784.2,274.7
1840,283.4,789.1,274.9
1845,283.9,795.2,275.2
1850,284.7,801.4,275.4
1855,285.4,808.5,275.9
1860,286.2,815.6,276.4
1865,286.9,823.4,276.9
1870,287.5,831.2,277.4
1875,288.7,839.3,277.8
1880,290.7,847.5,278.2
1885,293,857.4,278.7
1890,294.2,867.2,279.1
1895,294.8,878.8,279.5
1900,295.8,890.3,279.8
1905,297.6,912.1,280.3
1910,299.7,935.5,281
1915,301.4,961.5,281.8
1920,303,990.2,282.9
1925,305,1020.2,284
1930,307.2,1049,285
1935,309.4,1076.5,285.9
1940,310.4,1102.4,286.7
1945,310.1,1128.8,287.8
1950,310.7,1161.7,289
1955,313,1207,290.1
1960,316.9,1263,291.4
1965,320,1328.5,292.9
1970,325,1403.2,294.9
1975,331.3,1483.6,297.4
1978,334.6,1532.8,298.8
1979,336.7,1549.5,300
1980,338.7,1566.3,300.6
1981,339.7,1583.5,301.2
1982,340.9,1600.7,303.6
1983,342.5,1617.9,303.8
1984,344.1,1635.1,304
1985,345.5,1652.3,304.5
1986,346.9,1669.5,305.4
1987,348.5,1680.7,305.6
1988,350.9,1698.8,306.5
1989,352.6,1710.5,307.5
1990,353.7,1709.3,308.8
1991,355.1,1729.1,309.6
1992,355.9,1731.1,310
1993,356.6,1735.7,310.3
1994,358.2,1741.7,311
1995,360.2,1747.1,311.8
1996,362,1749.9,312.7
1997,363.2,1754.1,313.4
1998,365.7,1763.1,314
1999,367.8,1772.9,314.8
2000,368.9,1774.5,315.8
2001,370.4,1773.4,316.6
2002,372.5,1773.6,317.2
2003,375.1,1777.7,317.9
2004,376.6,1775.5,318.5
2005,379,1774.7,319.2
2006,381.2,1776.5,319.9
2007,382.9,1781.8,320.6
2008,385,1790,321.6
2009,386.4,1793.7,322.3
2010,388.7,1796.9,323.1
2011,390.6,1803.6,324
2012,392.6,1810.4,324.9
2013,395.5,1815.5,325.8
2014,397.5,1824.5,326.9
2015,399.6,1834.8,327.7
2016,402.9,1834.8,327.7
